iter	Logloss
0	0.5501927614
1	0.4586404972
2	0.3959020792
3	0.354189028
4	0.3263379176
5	0.3060144908
6	0.2935846125
7	0.2844390295
8	0.2773391481
9	0.273049342
10	0.2694843619
11	0.2668289841
12	0.2646135203
13	0.2629986659
14	0.2616877817
15	0.2602955299
16	0.2593939795
17	0.2587560086
18	0.2579337232
19	0.2572615018
20	0.2567351206
21	0.2564220924
22	0.2561057571
23	0.2558446081
24	0.255685643
25	0.255534673
26	0.2553723313
27	0.2552439652
28	0.254988955
29	0.2548512287
30	0.254628939
31	0.2545151469
32	0.2544294915
33	0.2543577485
34	0.2542145641
35	0.2541057103
36	0.2539455254
37	0.2537998365
38	0.2537037994
39	0.2536425986
40	0.2535597372
41	0.2535249884
42	0.2534838419
43	0.253389685
44	0.2533656131
45	0.2533024704
46	0.2532417058
47	0.2532049151
48	0.2531719506
49	0.2531236475
50	0.2530965578
51	0.2530311703
52	0.2530005639
53	0.2529750712
54	0.2529112014
55	0.2528653375
56	0.2528160468
57	0.2527882304
58	0.2527497955
59	0.2527389006
60	0.2527191375
61	0.2526800117
62	0.252647262
63	0.2526253764
64	0.2525998098
65	0.2525734729
66	0.2525553777
67	0.2525203823
68	0.2524929841
69	0.2524710031
70	0.2524498542
71	0.2524218356
72	0.2523846284
73	0.2523685985
74	0.2523566799
75	0.2523317421
76	0.252297907
77	0.252273316
78	0.2522519977
79	0.252233468
80	0.2522099124
81	0.2521826576
82	0.2521767691
83	0.25215772
84	0.2521396839
85	0.2521078654
86	0.252097705
87	0.252072499
88	0.2520600871
89	0.2520389864
90	0.2520269221
91	0.2520023554
92	0.2519881765
93	0.2519787386
94	0.2519644062
95	0.2519363021
96	0.2519165845
97	0.2519065259
98	0.2518898252
99	0.2518699865
100	0.2518531831
101	0.2518469028
102	0.251829495
103	0.251812189
104	0.2517933418
105	0.2517793504
106	0.2517671843
107	0.2517493073
108	0.2517363883
109	0.2517153339
110	0.2517033918
111	0.251685611
112	0.2516688072
113	0.2516497452
114	0.2516415436
115	0.2516273806
116	0.2516053133
117	0.2515858206
118	0.2515767487
119	0.2515602504
120	0.2515373783
121	0.2515197132
122	0.251498787
123	0.2514850155
124	0.2514793271
125	0.2514707179
126	0.2514624045
127	0.2514468877
128	0.2514213705
129	0.2514051945
130	0.2513776266
131	0.251352515
132	0.2513297516
133	0.2513240351
134	0.2513016308
135	0.2512911857
136	0.2512562386
137	0.2512288901
138	0.2512055788
139	0.2511785063
140	0.2511739688
141	0.2511506854
142	0.2511448545
143	0.2511322264
144	0.2511074489
145	0.2510817099
146	0.2510639371
147	0.2510467492
148	0.2510233283
149	0.2510036701
150	0.2509811275
151	0.2509594506
152	0.2509471499
153	0.2509335253
154	0.250931405
155	0.250906619
156	0.2508930079
157	0.2508848864
158	0.2508594184
159	0.2508491462
160	0.2508421608
161	0.2508347979
162	0.2508198561
163	0.2508029797
164	0.250779825
165	0.2507754362
166	0.2507633102
167	0.2507445374
168	0.2507324385
169	0.2507171138
170	0.2507051524
171	0.2506834812
172	0.2506624892
173	0.250641323
174	0.2506257571
175	0.2506047783
176	0.2505983843
177	0.2505875495
178	0.2505666458
179	0.2505505654
180	0.250530552
181	0.2505036423
182	0.2504845468
183	0.2504687961
184	0.2504554443
185	0.2504448114
186	0.2504253149
187	0.2504119756
188	0.2503965241
189	0.2503816759
190	0.2503696928
191	0.2503531008
192	0.2503371306
193	0.25031453
194	0.2502977502
195	0.2502783475
196	0.2502669787
197	0.2502511893
198	0.2502402522
199	0.2502281281
200	0.2502208734
201	0.2502092444
202	0.2501872083
203	0.2501683755
204	0.2501513319
205	0.2501507716
206	0.2501424947
207	0.250126446
208	0.250115691
209	0.2501035208
210	0.2500957789
211	0.2500775075
212	0.2500592403
213	0.2500580268
214	0.2500451013
215	0.2500319147
216	0.2500110277
217	0.2500037569
218	0.249984076
219	0.2499641795
220	0.2499597136
221	0.2499432652
222	0.2499213801
223	0.2499040175
224	0.2498875771
225	0.2498744527
226	0.2498595873
227	0.2498491686
228	0.2498350886
229	0.2498186666
230	0.2498061084
231	0.2497857208
232	0.2497722689
233	0.2497577893
234	0.249736987
235	0.2497308089
236	0.2497127473
237	0.2496984939
238	0.249678936
239	0.2496608496
240	0.2496544257
241	0.2496421832
242	0.2496273446
243	0.2496158584
244	0.2496005092
245	0.2495775121
246	0.2495634815
247	0.2495568847
248	0.249540777
249	0.2495192868
250	0.2495149931
251	0.2495015754
252	0.2494908799
253	0.249471301
254	0.2494604958
255	0.2494456226
256	0.2494284683
257	0.2494201303
258	0.2494114568
259	0.2493975728
260	0.2493864576
261	0.2493813716
262	0.249363631
263	0.2493459855
264	0.2493319918
265	0.2493231004
266	0.2493136191
267	0.24930045
268	0.2492785791
269	0.2492720458
270	0.249258288
271	0.2492483211
272	0.2492396409
273	0.2492326797
274	0.2492209645
275	0.2492137992
276	0.249201185
277	0.2491860096
278	0.2491739155
279	0.2491610084
280	0.2491497463
281	0.2491405398
282	0.2491332212
283	0.2491323368
284	0.2491249413
285	0.2491139793
286	0.2491010408
287	0.249090189
288	0.2490757553
289	0.2490628803
290	0.2490487484
291	0.2490349682
292	0.2490258595
293	0.2490144809
294	0.2489998323
295	0.2489828884
296	0.2489722469
297	0.2489568497
298	0.2489427491
299	0.2489367011
300	0.2489194939
301	0.2489064787
302	0.2488946393
303	0.2488731447
304	0.2488548877
305	0.2488393652
306	0.2488272123
307	0.2488170054
308	0.2488096198
309	0.2487915363
310	0.2487800796
311	0.2487713246
312	0.2487620956
313	0.2487529989
314	0.2487404409
315	0.2487276208
316	0.248714466
317	0.2486998684
318	0.2486894224
319	0.2486879703
320	0.2486761679
321	0.2486698969
322	0.2486616265
323	0.2486436045
324	0.2486329043
325	0.2486227838
326	0.248610139
327	0.2485970542
328	0.2485882333
329	0.2485707215
330	0.2485593159
331	0.2485467801
332	0.2485424368
333	0.2485339311
334	0.2485253379
335	0.2485205731
336	0.2485127198
337	0.2484967179
338	0.2484926199
339	0.2484819275
340	0.2484727759
341	0.248462887
342	0.2484485771
343	0.2484339234
344	0.2484259003
345	0.2484263635
346	0.2484125703
347	0.248399437
348	0.2483907925
349	0.2483831774
350	0.2483772323
351	0.2483571142
352	0.2483456729
353	0.2483298691
354	0.248322679
355	0.2483069413
356	0.2483044491
357	0.2482962818
358	0.2482773501
359	0.2482665952
360	0.2482598224
361	0.2482507767
362	0.2482366354
363	0.2482321675
364	0.2482218547
365	0.248213116
366	0.2482032981
367	0.2481950374
368	0.2481884728
369	0.2481724382
370	0.2481647481
371	0.2481546305
372	0.2481496847
373	0.248140705
374	0.2481222916
375	0.2481147431
376	0.2481003462
377	0.2480921757
378	0.2480800915
379	0.2480748601
380	0.2480646261
381	0.248055372
382	0.2480501983
383	0.2480363391
384	0.2480257184
385	0.2480159206
