iter	Passed	Remaining
0	75	37760
1	142	35577
2	207	34413
3	275	34109
4	343	33977
5	412	33943
6	478	33698
7	547	33668
8	610	33331
9	676	33172
10	749	33313
11	820	33371
12	893	33468
13	967	33591
14	1046	33839
15	1121	33929
16	1208	34332
17	1284	34386
18	1363	34509
19	1443	34638
20	1522	34734
21	1592	34610
22	1666	34554
23	1745	34611
24	1836	34893
25	1927	35142
26	2031	35583
27	2125	35829
28	2205	35822
29	2291	35897
30	2370	35856
31	2476	36221
32	2564	36295
33	2650	36327
34	2729	36260
35	2805	36154
36	2922	36575
37	3026	36792
38	3101	36658
39	3177	36537
40	3258	36480
41	3337	36395
42	3416	36311
43	3494	36220
44	3574	36138
45	3647	35998
46	3722	35878
47	3796	35755
48	3872	35641
49	3948	35535
50	4022	35413
51	4099	35318
52	4174	35206
53	4256	35156
54	4335	35078
55	4412	34981
56	4493	34925
57	4568	34818
58	4641	34692
59	4710	34542
60	4784	34433
61	4859	34330
62	4939	34261
63	5002	34082
64	5081	34010
65	5154	33892
66	5231	33811
67	5305	33707
68	5381	33612
69	5445	33452
70	5519	33348
71	5591	33239
72	5668	33158
73	5733	33008
74	5798	32857
75	5867	32736
76	5937	32618
77	5998	32451
78	6065	32321
79	6133	32198
80	6196	32052
81	6260	31911
82	6318	31746
83	6384	31618
84	6443	31461
85	6511	31347
86	6577	31225
87	6639	31084
88	6703	30955
89	6769	30838
90	6834	30717
91	6903	30617
92	6971	30507
93	7035	30388
94	7099	30266
95	7166	30158
96	7233	30051
97	7303	29957
98	7378	29888
99	7454	29816
100	7536	29772
101	7606	29682
102	7682	29612
103	7760	29548
104	7838	29488
105	7914	29418
106	7990	29347
107	8070	29291
108	8154	29250
109	8234	29193
110	8313	29135
111	8391	29069
112	8467	28999
113	8549	28948
114	8623	28870
115	8698	28794
116	8777	28732
117	8856	28671
118	8929	28589
119	9009	28531
120	9082	28448
121	9159	28380
122	9241	28326
123	9321	28265
124	9396	28188
125	9465	28097
126	9538	28014
127	9614	27941
128	9689	27867
129	9766	27796
130	9849	27742
131	9927	27676
132	10005	27609
133	10081	27534
134	10156	27461
135	10238	27402
136	10329	27370
137	10417	27327
138	10516	27311
139	10605	27271
140	10682	27197
141	10766	27143
142	10836	27054
143	10915	26985
144	10990	26907
145	11072	26846
146	11146	26767
147	11222	26691
148	11301	26623
149	11379	26551
150	11460	26488
151	11542	26425
152	11608	26328
153	11674	26228
154	11735	26121
155	11812	26048
156	11891	25979
157	11957	25882
158	12021	25782
159	12083	25677
160	12141	25563
161	12200	25454
162	12269	25366
163	12351	25306
164	12423	25224
165	12489	25130
166	12549	25023
167	12618	24935
168	12677	24830
169	12744	24739
170	12806	24639
171	12871	24545
172	12933	24447
173	12998	24353
174	13064	24261
175	13136	24183
176	13198	24085
177	13263	23993
178	13323	23893
179	13392	23809
180	13460	23723
181	13525	23632
182	13594	23549
183	13663	23464
184	13726	23371
185	13786	23273
186	13851	23185
187	13908	23082
188	13974	22994
189	14039	22906
190	14104	22818
191	14169	22729
192	14232	22638
193	14299	22555
194	14371	22478
195	14440	22397
196	14500	22302
197	14567	22218
198	14623	22119
199	14689	22034
200	14745	21934
201	14812	21852
202	14879	21769
203	14949	21690
204	15028	21625
205	15098	21547
206	15180	21486
207	15261	21424
208	15335	21351
209	15408	21277
210	15479	21201
211	15556	21133
212	15630	21061
213	15701	20984
214	15776	20912
215	15851	20841
216	15929	20774
217	15998	20695
218	16079	20632
219	16156	20563
220	16230	20490
221	16385	20518
222	16497	20492
223	16613	20469
224	16701	20413
225	16812	20382
226	16888	20310
227	16961	20234
228	17081	20214
229	17218	20212
230	17342	20195
231	17437	20143
232	17515	20070
233	17587	19992
234	17668	19924
235	17774	19883
236	17917	19883
237	18004	19820
238	18084	19749
239	18165	19679
240	18273	19638
241	18428	19646
242	18542	19610
243	18702	19622
244	18854	19623
245	18969	19586
246	19048	19511
247	19120	19428
248	19216	19371
249	19367	19367
250	19472	19317
251	19609	19298
252	19745	19277
253	19841	19216
254	19920	19139
255	19996	19058
256	20061	18968
257	20129	18881
258	20196	18793
259	20303	18741
260	20407	18687
261	20502	18624
262	20567	18534
263	20628	18440
264	20697	18354
265	20766	18268
266	20828	18176
267	20889	18083
268	20956	17995
269	21019	17905
270	21084	17816
271	21151	17729
272	21219	17644
273	21286	17557
274	21352	17470
275	21436	17397
276	21565	17361
277	21668	17303
278	21749	17227
279	21812	17138
280	21876	17049
281	21938	16959
282	22001	16870
283	22083	16795
284	22184	16735
285	22269	16663
286	22333	16575
287	22407	16494
288	22495	16424
289	22596	16363
290	22694	16299
291	22774	16223
292	22849	16142
293	22923	16061
294	22999	15982
295	23130	15941
296	23235	15881
297	23324	15810
298	23391	15724
299	23453	15635
300	23523	15552
301	23618	15484
302	23731	15429
303	23816	15355
304	23878	15266
305	23942	15179
306	24007	15092
307	24071	15005
308	24139	14921
309	24207	14836
310	24272	14750
